State,District,Crop,Productivity(quintal/acre),Rate(Rs/quintal)
Gujarat,Ahmedabad,Wheat,13,2485
Gujarat,Ahmedabad,Maize,10,2358
Gujarat,Ahmedabad,Rice,21,2703
Gujarat,Ahmedabad,Cotton,8,8839
Gujarat,Bishanpura,Wheat,13,2683
Gujarat,Bishanpura,Rice,22,2581
Gujarat,Bishanpura,Maize,10,2343
Gujarat,Bishanpura,Cotton,7,7997
Gujarat,Channarayapatna,Wheat,13,2701
Gujarat,Channarayapatna,Rice,25,2312
Gujarat,Channarayapatna,Maize,9,2141
Gujarat,Channarayapatna,Cotton,8,7527
Gujarat,Dhulagori,Wheat,13,2714
Gujarat,Dhulagori,Rice,20,2611
Gujarat,Dhulagori,Maize,9,2814
Gujarat,Dhulagori,Cotton,9,8717
Gujarat,Manjari,Wheat,13,2650
Gujarat,Manjari,Rice,20,2397
Gujarat,Manjari,Maize,9,2609
Gujarat,Manjari,Cotton,9,7974
Gujarat,Nellikuppam,Wheat,12,2403
Gujarat,Nellikuppam,Rice,22,2406
Gujarat,Nellikuppam,Maize,9,2407
Gujarat,Nellikuppam,Cotton,10,8828
Gujarat,Surat,Wheat,12,2669
Gujarat,Surat,Rice,23,2338
Gujarat,Surat,Maize,9,2323
Gujarat,Surat,Cotton,7,7612
Karnataka,Bengaluru,Wheat,6,2646
Karnataka,Bengaluru,Rice,25,2621
Karnataka,Bengaluru,Maize,13,2200
Karnataka,Bengaluru,Cotton,6,8640
Karnataka,Bishanpura,Wheat,5,2623
Karnataka,Bishanpura,Rice,27,2799
Karnataka,Bishanpura,Maize,12,2449
Karnataka,Bishanpura,Cotton,6,8696
Karnataka,Channarayapatna,Wheat,5,2658
Karnataka,Channarayapatna,Rice,26,2800
Karnataka,Channarayapatna,Maize,12,2001
Karnataka,Channarayapatna,Cotton,6,8949
Karnataka,Dhulagori,Wheat,5,2643
Karnataka,Dhulagori,Rice,20,2334
Karnataka,Dhulagori,Maize,13,2757
Karnataka,Dhulagori,Cotton,6,8107
Karnataka,Manjari,Wheat,6,2816
Karnataka,Manjari,Rice,24,2764
Karnataka,Manjari,Maize,13,2294
Karnataka,Manjari,Cotton,8,8122
Karnataka,Mysuru,Wheat,6,2414
Karnataka,Mysuru,Rice,21,2587
Karnataka,Mysuru,Maize,12,2668
Karnataka,Mysuru,Cotton,7,7629
Karnataka,Nellikuppam,Wheat,5,2630
Karnataka,Nellikuppam,Rice,27,2332
Karnataka,Nellikuppam,Maize,12,2066
Karnataka,Nellikuppam,Cotton,8,8946
Madhya Pradesh,Bishanpura,Wheat,13,2632
