Manufacturer,Approved,Vehicle_Model,Net Dealer Price
MAHI,Yes,MX00001,813356
MAHI,Yes,MX00002,1392077
MAHI,Yes,MX00003,729957
SON,Yes,SX00001,896882
SON,Yes,SX00002,1414565
SON,Yes,SX00003,1414704
WAGOE,Yes,WX00001,909985
WAGOE,Yes,WX00002,1124638
WAGOE,Yes,WX00003,1160926
KUYOTA,Yes,KX00001,875496
KUYOTA,Yes,KX00002,1295719
KUYOTA,Yes,KX00003,1260607
NHD,Yes,NX00001,1470555
NHD,Yes,NX00002,1493053
NHD,Yes,NX00003,931980
TAMO,No,TX00001,1451447
TAMO,No,TX00002,1436113
TAMO,No,TX00003,996381
PITA,No,PX00001,884799
PITA,No,PX00002,1072814
PITA,No,PX00003,1057777
KOMA,No,KX00001,1191772
KOMA,No,KX00002,700899
KOMA,No,KX00003,788205
LYMA,No,LX00001,778891
LYMA,No,LX00002,1339783
LYMA,No,LX00003,768547
